=== Log giải Sudoku 9x9 bằng Simulated Annealing ===
Bước 140: Swap (0,7) = 5 <=> (1,7) = 1 | Lỗi:  6 | Conflicts: 11 | Tổng: 4.2284s | Sigma: 23.5217
Bước 141: Swap (0,2) = 4 <=> (2,1) = 8 | Lỗi:  9 | Conflicts: 15 | Tổng: 4.2598s | Sigma: 23.2864
Bước 142: Swap (0,0) = 8 <=> (2,1) = 7 | Lỗi:  8 | Conflicts: 13 | Tổng: 4.2927s | Sigma: 22.8230
Bước 143: Swap (7,3) = 2 <=> (7,4) = 8 | Lỗi:  8 | Conflicts: 12 | Tổng: 4.3227s | Sigma: 22.5948
Bước 144: Swap (2,6) = 2 <=> (0,8) = 3 | Lỗi: 12 | Conflicts: 17 | Tổng: 4.3524s | Sigma: 22.3689
Bước 145: Swap (6,0) = 6 <=> (8,2) = 1 | Lỗi: 16 | Conflicts: 23 | Tổng: 4.3821s | Sigma: 22.1452
Bước 146: Swap (0,0) = 7 <=> (2,1) = 8 | Lỗi: 17 | Conflicts: 25 | Tổng: 4.4134s | Sigma: 21.9237
Bước 147: Swap (0,7) = 1 <=> (1,7) = 5 | Lỗi: 19 | Conflicts: 29 | Tổng: 4.4423s | Sigma: 21.7045
Bước 148: Swap (7,3) = 7 <=> (6,4) = 2 | Lỗi: 15 | Conflicts: 24 | Tổng: 4.4682s | Sigma: 21.4874
Bước 149: Swap (7,4) = 7 <=> (7,3) = 8 | Lỗi: 17 | Conflicts: 28 | Tổng: 4.4979s | Sigma: 21.2726
Bước 150: Swap (2,6) = 1 <=> (0,7) = 2 | Lỗi: 17 | Conflicts: 27 | Tổng: 4.5285s | Sigma: 21.0598
Bước 151: Swap (6,0) = 1 <=> (8,2) = 6 | Lỗi: 13 | Conflicts: 22 | Tổng: 4.5613s | Sigma: 20.8492
Bước 152: Swap (6,0) = 6 <=> (8,2) = 1 | Lỗi: 17 | Conflicts: 27 | Tổng: 4.5925s | Sigma: 20.6408
Bước 153: Swap (0,0) = 4 <=> (0,2) = 7 | Lỗi: 16 | Conflicts: 25 | Tổng: 4.6232s | Sigma: 20.4343
Bước 154: Swap (0,0) = 8 <=> (2,1) = 4 | Lỗi: 12 | Conflicts: 19 | Tổng: 4.6544s | Sigma: 20.2300
Bước 155: Swap (6,4) = 8 <=> (7,3) = 2 | Lỗi: 14 | Conflicts: 22 | Tổng: 4.6853s | Sigma: 20.0277
