=== Log giải Sudoku 9x9 bằng Simulated Annealing ===
Bước 163: Swap (1,6) = 9 <=> (2,8) = 6 | Lỗi: 12 | Conflicts: 19 | Tổng: 83.8939s | Sigma: 17.3990
Bước 164: Swap (0,3) = 7 <=> (2,5) = 5 | Lỗi:  9 | Conflicts: 14 | Tổng: 84.4128s | Sigma: 17.2250
Bước 165: Swap (5,7) = 1 <=> (4,6) = 7 | Lỗi: 13 | Conflicts: 19 | Tổng: 84.9286s | Sigma: 17.0527
Bước 166: Swap (5,5) = 6 <=> (3,5) = 4 | Lỗi: 12 | Conflicts: 17 | Tổng: 85.4442s | Sigma: 16.8822
Bước 167: Swap (1,6) = 6 <=> (2,8) = 9 | Lỗi:  8 | Conflicts: 11 | Tổng: 85.9609s | Sigma: 16.7134
Bước 168: Swap (2,8) = 6 <=> (1,6) = 9 | Lỗi: 12 | Conflicts: 17 | Tổng: 86.4768s | Sigma: 16.5463
Bước 169: Swap (0,3) = 5 <=> (2,5) = 7 | Lỗi: 15 | Conflicts: 21 | Tổng: 86.9927s | Sigma: 16.3808
Bước 170: Swap (5,2) = 5 <=> (3,2) = 4 | Lỗi: 17 | Conflicts: 24 | Tổng: 87.5079s | Sigma: 16.2170
Bước 171: Swap (4,6) = 1 <=> (5,7) = 7 | Lỗi: 13 | Conflicts: 20 | Tổng: 88.0226s | Sigma: 16.0548
Bước 172: Swap (0,1) = 5 <=> (0,0) = 6 | Lỗi: 15 | Conflicts: 23 | Tổng: 88.5395s | Sigma: 15.8943
Bước 173: Swap (0,3) = 7 <=> (2,5) = 5 | Lỗi: 12 | Conflicts: 19 | Tổng: 89.0586s | Sigma: 15.7353
Bước 174: Swap (0,1) = 6 <=> (0,0) = 5 | Lỗi: 10 | Conflicts: 15 | Tổng: 89.5769s | Sigma: 15.5780
Bước 175: Swap (0,3) = 5 <=> (2,5) = 7 | Lỗi: 13 | Conflicts: 20 | Tổng: 90.0952s | Sigma: 15.4222
Bước 176: Swap (3,5) = 7 <=> (4,4) = 4 | Lỗi: 10 | Conflicts: 16 | Tổng: 90.6151s | Sigma: 15.2680
Bước 177: Swap (4,4) = 7 <=> (3,5) = 4 | Lỗi: 13 | Conflicts: 20 | Tổng: 91.1340s | Sigma: 15.1153
Bước 178: Swap (5,5) = 7 <=> (4,4) = 6 | Lỗi: 15 | Conflicts: 22 | Tổng: 91.6539s | Sigma: 14.9641
Bước 179: Swap (2,5) = 5 <=> (0,3) = 7 | Lỗi: 11 | Conflicts: 17 | Tổng: 92.1720s | Sigma: 14.8145
Bước 180: Swap (1,6) = 6 <=> (2,8) = 9 | Lỗi:  7 | Conflicts: 11 | Tổng: 92.6912s | Sigma: 14.5197
Bước 181: Swap (5,2) = 2 <=> (4,1) = 5 | Lỗi: 10 | Conflicts: 15 | Tổng: 93.2093s | Sigma: 14.3745
Bước 182: Swap (5,7) = 1 <=> (4,6) = 7 | Lỗi: 13 | Conflicts: 19 | Tổng: 93.7285s | Sigma: 14.2307
Bước 183: Swap (2,8) = 6 <=> (1,6) = 9 | Lỗi: 17 | Conflicts: 25 | Tổng: 94.2478s | Sigma: 14.0884
Bước 184: Swap (0,1) = 5 <=> (0,0) = 6 | Lỗi: 19 | Conflicts: 28 | Tổng: 94.7649s | Sigma: 13.9476
Bước 185: Swap (5,7) = 7 <=> (4,6) = 1 | Lỗi: 16 | Conflicts: 24 | Tổng: 95.2796s | Sigma: 13.8081
Bước 186: Swap (0,1) = 6 <=> (0,0) = 5 | Lỗi: 14 | Conflicts: 21 | Tổng: 95.7974s | Sigma: 13.6700
Bước 187: Swap (3,2) = 2 <=> (5,2) = 4 | Lỗi: 13 | Conflicts: 20 | Tổng: 96.3192s | Sigma: 13.5333
